* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:37:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 74.94 V 74.94 VC, 74.94 VA 74.94 V 22 - 22k UNW 6.444 mV >22k Distortion at 1,000.0 Hz, -2.50 dBFS: Gain: -0.00 dB THD: 0.022 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0019 %  [10 .. 22] N: 0.053 %  [0..22800 Hz] N+D: 35.06 mV A THD+N: 0.057 %  [0..22800 Hz] SNR: 65.6 dB ENOB: 11.4 bits 2nd harmonic 0.022 % -64 deg 3rd harmonic 0.0034 % -115 deg 4th harmonic 0.0022 % 5 deg 5th harmonic 0.00052 % -92 deg 6th harmonic 0.00067 % 55 deg 7th harmonic 0.00057 % 151 deg 8th harmonic 0.00056 % 31 deg 9th harmonic 0.00053 % -167 deg
* Measurement: OSDEHA MU-OUT 75.0V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.29278E-5
2.929688; 1.03431E-4
4.394531; 1.82887E-4
5.859375; 2.63526E-4
7.324219; 2.63816E-4
8.789062; 2.89463E-4
10.253906; 3.31466E-4
11.718750; 3.14923E-4
13.183594; 3.64873E-4
14.648438; 4.14634E-4
16.113281; 3.92235E-4
17.578125; 3.46322E-4
19.042969; 3.63458E-4
20.507812; 3.92663E-4
21.972656; 3.87502E-4
23.437500; 3.98324E-4
24.902344; 4.05042E-4
26.367188; 3.75510E-4
27.832031; 4.30366E-4
29.296875; 4.60510E-4
30.761719; 4.39585E-4
32.226562; 4.74097E-4
33.691406; 4.54398E-4
35.156250; 4.19937E-4
36.621094; 3.82926E-4
38.085938; 4.57252E-4
39.550781; 4.65219E-4
41.015625; 4.51357E-4
42.480469; 3.93886E-4
43.945312; 3.96043E-4
45.410156; 3.85889E-4
46.875000; 4.20530E-4
48.339844; 3.85044E-4
49.804688; 3.68222E-4
51.269531; 3.72045E-4
52.734375; 3.33185E-4
54.199219; 3.67762E-4
55.664062; 3.66058E-4
57.128906; 3.73138E-4
58.593750; 3.64590E-4
60.058594; 4.20459E-4
61.523438; 4.32628E-4
62.988281; 4.15494E-4
64.453125; 4.22937E-4
65.917969; 3.82708E-4
67.382812; 3.95750E-4
68.847656; 4.07587E-4
70.312500; 4.02462E-4
71.777344; 3.98768E-4
73.242188; 3.87593E-4
74.707031; 4.28665E-4
76.171875; 3.66225E-4
77.636719; 3.58988E-4
79.101562; 4.14723E-4
80.566406; 3.90412E-4
82.031250; 4.06718E-4
83.496094; 3.81014E-4
84.960938; 3.68957E-4
86.425781; 3.72967E-4
87.890625; 3.65016E-4
89.355469; 3.52544E-4
90.820312; 4.22429E-4
92.285156; 4.52200E-4
93.750000; 4.18918E-4
95.214844; 4.12950E-4
96.679688; 4.93404E-4
98.144531; 1.61425E-3
99.609375; 5.32184E-3
101.074219; 4.05207E-3
102.539062; 6.89487E-4
104.003906; 4.09520E-4
105.468750; 3.96297E-4
106.933594; 4.16732E-4
108.398438; 4.07691E-4
109.863281; 3.52171E-4
111.328125; 3.95079E-4
112.792969; 3.79493E-4
114.257812; 3.53404E-4
115.722656; 3.41605E-4
117.187500; 3.53612E-4
118.652344; 3.98170E-4
120.117188; 3.80142E-4
121.582031; 3.98208E-4
123.046875; 4.32867E-4
124.511719; 4.37483E-4
125.976562; 3.97402E-4
127.441406; 3.38435E-4
128.906250; 3.71764E-4
130.371094; 3.75107E-4
131.835938; 4.02360E-4
133.300781; 4.32571E-4
134.765625; 4.67490E-4
136.230469; 4.29427E-4
137.695312; 4.32255E-4
139.160156; 4.01368E-4
140.625000; 3.91958E-4
142.089844; 3.91786E-4
143.554688; 3.88540E-4
145.019531; 4.13804E-4
146.484375; 4.50235E-4
147.949219; 3.99767E-4
149.414062; 3.75971E-4
150.878906; 3.79463E-4
152.343750; 3.81409E-4
153.808594; 3.85833E-4
155.273438; 3.95987E-4
156.738281; 3.43103E-4
158.203125; 3.68960E-4
159.667969; 4.09193E-4
161.132812; 4.04941E-4
162.597656; 4.48414E-4
164.062500; 4.11933E-4
165.527344; 4.08236E-4
166.992188; 3.93824E-4
168.457031; 4.03562E-4
169.921875; 4.14043E-4
171.386719; 4.18022E-4
172.851562; 3.53883E-4
174.316406; 3.66237E-4
175.781250; 4.31235E-4
177.246094; 4.30057E-4
178.710938; 4.27578E-4
180.175781; 4.43378E-4
181.640625; 4.03710E-4
183.105469; 4.32700E-4
184.570312; 3.96473E-4
186.035156; 4.20537E-4
187.500000; 4.00084E-4
188.964844; 3.58201E-4
190.429688; 3.59761E-4
191.894531; 4.12826E-4
193.359375; 4.06938E-4
194.824219; 4.47007E-4
196.289062; 3.92504E-4
197.753906; 4.14202E-4
199.218750; 7.07025E-4
200.683594; 7.41243E-4
202.148438; 3.87027E-4
203.613281; 3.48535E-4
205.078125; 3.85248E-4
206.542969; 3.82897E-4
208.007812; 3.84118E-4
209.472656; 4.07379E-4
210.937500; 3.92683E-4
212.402344; 4.45210E-4
213.867188; 4.23793E-4
215.332031; 4.02951E-4
216.796875; 4.00772E-4
218.261719; 4.02438E-4
219.726562; 4.30420E-4
221.191406; 3.62681E-4
222.656250; 3.80492E-4
224.121094; 3.67088E-4
225.585938; 3.67799E-4
227.050781; 4.14749E-4
228.515625; 4.73989E-4
229.980469; 4.09361E-4
231.445312; 3.61137E-4
232.910156; 3.98981E-4
234.375000; 3.81094E-4
235.839844; 3.60477E-4
237.304688; 3.44479E-4
238.769531; 4.20998E-4
240.234375; 4.33508E-4
241.699219; 3.73033E-4
243.164062; 3.74216E-4
244.628906; 3.93125E-4
246.093750; 4.00689E-4
247.558594; 4.23458E-4
249.023438; 4.28646E-4
