* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:38:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 97.99 V 97.99 VC, 97.99 VA 97.99 V 22 - 22k UNW 6.453 mV >22k Distortion at 1,000.0 Hz, -0.17 dBFS: Gain: -0.00 dB THD: 0.027 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0014 %  [10 .. 22] N: 0.040 %  [0..22800 Hz] N+D: 42.06 mV A THD+N: 0.048 %  [0..22800 Hz] SNR: 67.9 dB ENOB: 11.3 bits 2nd harmonic 0.026 % -70 deg 3rd harmonic 0.0036 % -130 deg 4th harmonic 0.0031 % -23 deg 5th harmonic 0.00056 % -48 deg 6th harmonic 0.00073 % -11 deg 7th harmonic 0.00054 % 106 deg 8th harmonic 0.00042 % -33 deg 9th harmonic 0.00042 % 86 deg
* Measurement: OSDEHA MU-OUT 98V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.30544E-5
2.929688; 1.04337E-4
4.394531; 1.87814E-4
5.859375; 2.45419E-4
7.324219; 2.84473E-4
8.789062; 3.37638E-4
10.253906; 3.23806E-4
11.718750; 3.48561E-4
13.183594; 4.04534E-4
14.648438; 3.72931E-4
16.113281; 3.85337E-4
17.578125; 3.77798E-4
19.042969; 3.59618E-4
20.507812; 4.07487E-4
21.972656; 3.97643E-4
23.437500; 3.29143E-4
24.902344; 3.54694E-4
26.367188; 3.75255E-4
27.832031; 3.90185E-4
29.296875; 3.89487E-4
30.761719; 4.58339E-4
32.226562; 4.71340E-4
33.691406; 4.43157E-4
35.156250; 3.83304E-4
36.621094; 3.26098E-4
38.085938; 3.76907E-4
39.550781; 3.81796E-4
41.015625; 4.52657E-4
42.480469; 4.34925E-4
43.945312; 3.32993E-4
45.410156; 3.69541E-4
46.875000; 3.97743E-4
48.339844; 3.73297E-4
49.804688; 3.68325E-4
51.269531; 4.00446E-4
52.734375; 4.06241E-4
54.199219; 3.76076E-4
55.664062; 3.51170E-4
57.128906; 3.83102E-4
58.593750; 4.27731E-4
60.058594; 4.18740E-4
61.523438; 4.36276E-4
62.988281; 4.76215E-4
64.453125; 4.68960E-4
65.917969; 4.14569E-4
67.382812; 4.54007E-4
68.847656; 4.07924E-4
70.312500; 3.56403E-4
71.777344; 3.46965E-4
73.242188; 4.01897E-4
74.707031; 3.99685E-4
76.171875; 4.09491E-4
77.636719; 4.27783E-4
79.101562; 3.91538E-4
80.566406; 3.54008E-4
